Time (s),Illuminance (lux),Timestamp,Condition
40.833,6.96,2026-01-12 02:02:32.133,Transition
40.931,5.92,2026-01-12 02:02:32.231,Transition
41.033,5.82,2026-01-12 02:02:32.333,Transition
41.131,6.17,2026-01-12 02:02:32.431,Transition
41.231,6.17,2026-01-12 02:02:32.531,Transition
41.331,6.17,2026-01-12 02:02:32.631,Transition
41.43,6.68,2026-01-12 02:02:32.730,Transition
41.53,6.96,2026-01-12 02:02:32.830,Transition
41.631,6.96,2026-01-12 02:02:32.931,Transition
41.731,7.06,2026-01-12 02:02:33.031,Transition
41.831,7.06,2026-01-12 02:02:33.131,Transition
41.93,7.92,2026-01-12 02:02:33.230,Transition
42.03,8.97,2026-01-12 02:02:33.330,Transition
42.13,9.3,2026-01-12 02:02:33.430,Transition
42.231,9.3,2026-01-12 02:02:33.531,Transition
42.33,10.11,2026-01-12 02:02:33.630,Transition
42.43,9.98,2026-01-12 02:02:33.730,Transition
42.531,4.62,2026-01-12 02:02:33.831,Transition
42.629,5.13,2026-01-12 02:02:33.929,Transition
42.73,5.13,2026-01-12 02:02:34.030,Transition
42.83,5.82,2026-01-12 02:02:34.130,Transition
42.929,5.92,2026-01-12 02:02:34.229,Transition
43.033,6.17,2026-01-12 02:02:34.333,Transition
43.131,6.17,2026-01-12 02:02:34.431,Transition
43.229,6.68,2026-01-12 02:02:34.529,Transition
43.328,6.68,2026-01-12 02:02:34.628,Transition
43.432,7.62,2026-01-12 02:02:34.732,Transition
43.533,7.62,2026-01-12 02:02:34.833,Transition
43.63,7.06,2026-01-12 02:02:34.930,Transition
43.729,6.68,2026-01-12 02:02:35.029,Transition
43.832,8.97,2026-01-12 02:02:35.132,Transition
43.93,20.47,2026-01-12 02:02:35.230,Transition
44.029,143.45,2026-01-12 02:02:35.329,Transition
44.131,345.71,2026-01-12 02:02:35.431,Transition
44.23,650.07,2026-01-12 02:02:35.530,Transition
44.329,1150.3,2026-01-12 02:02:35.629,Transition
44.432,1615.85,2026-01-12 02:02:35.732,Transition
44.53,1972.53,2026-01-12 02:02:35.830,Transition
44.631,1873.92,2026-01-12 02:02:35.931,Transition
44.73,1838.36,2026-01-12 02:02:36.030,Transition
44.827,1641.57,2026-01-12 02:02:36.127,Transition
44.928,1909.94,2026-01-12 02:02:36.228,Transition
45.029,2009.8,2026-01-12 02:02:36.329,Transition
45.128,2236.31,2026-01-12 02:02:36.428,Transition
45.231,2256.88,2026-01-12 02:02:36.531,Transition
45.329,2392.2,2026-01-12 02:02:36.629,Transition
45.428,2475.43,2026-01-12 02:02:36.728,Transition
45.529,2429.34,2026-01-12 02:02:36.829,Transition
45.631,2383.82,2026-01-12 02:02:36.931,Transition
45.729,2429.34,2026-01-12 02:02:37.029,Transition
45.829,2480.72,2026-01-12 02:02:37.129,Transition
45.929,2480.72,2026-01-12 02:02:37.229,Transition
46.029,2532.83,2026-01-12 02:02:37.329,Transition
46.13,2439.8,2026-01-12 02:02:37.430,Transition
46.229,2299.53,2026-01-12 02:02:37.529,Transition
46.33,2343.97,2026-01-12 02:02:37.630,Transition
46.431,2394.15,2026-01-12 02:02:37.731,Transition
46.53,2439.8,2026-01-12 02:02:37.830,Transition
46.631,2480.72,2026-01-12 02:02:37.931,Transition
46.731,2486.02,2026-01-12 02:02:38.031,Transition
46.829,2499.96,2026-01-12 02:02:38.129,Transition
46.928,2532.83,2026-01-12 02:02:38.228,Transition
47.03,2552.33,2026-01-12 02:02:38.330,Transition
47.129,2585.66,2026-01-12 02:02:38.429,Transition
47.229,2599.96,2026-01-12 02:02:38.529,Transition
47.33,2628.19,2026-01-12 02:02:38.630,Transition
47.43,2642.65,2026-01-12 02:02:38.730,Transition
47.528,2691.4,2026-01-12 02:02:38.828,Transition
47.628,2740.74,2026-01-12 02:02:38.928,Transition
47.732,2805.72,2026-01-12 02:02:39.032,Transition
47.83,2898.24,2026-01-12 02:02:39.130,Transition
47.93,2882.86,2026-01-12 02:02:39.230,Transition
48.03,2682.33,2026-01-12 02:02:39.330,Transition
48.131,2599.96,2026-01-12 02:02:39.431,Transition
48.229,2682.33,2026-01-12 02:02:39.529,Transition
48.326,2682.33,2026-01-12 02:02:39.626,Transition
48.433,2682.33,2026-01-12 02:02:39.733,Transition
48.529,2725.92,2026-01-12 02:02:39.829,Transition
48.627,2725.92,2026-01-12 02:02:39.927,Transition
48.728,2725.92,2026-01-12 02:02:40.028,Transition
48.829,2725.92,2026-01-12 02:02:40.129,Transition
48.928,2746.4,2026-01-12 02:02:40.228,Transition
49.03,2746.4,2026-01-12 02:02:40.330,Transition
49.129,2781.39,2026-01-12 02:02:40.429,Transition
49.23,2796.41,2026-01-12 02:02:40.530,Transition
49.328,2796.41,2026-01-12 02:02:40.628,Transition
49.427,2831.82,2026-01-12 02:02:40.727,Transition
49.527,2802.15,2026-01-12 02:02:40.827,Transition
49.628,2781.39,2026-01-12 02:02:40.928,Transition
49.729,2746.4,2026-01-12 02:02:41.029,Transition
49.831,2731.56,2026-01-12 02:02:41.131,Transition
49.929,2781.39,2026-01-12 02:02:41.229,Transition
50.029,2802.15,2026-01-12 02:02:41.329,Transition
50.13,2781.39,2026-01-12 02:02:41.430,Transition
50.228,2781.39,2026-01-12 02:02:41.528,Transition
50.329,2802.15,2026-01-12 02:02:41.629,Transition
50.431,2831.82,2026-01-12 02:02:41.731,Transition
50.53,2787.11,2026-01-12 02:02:41.830,Transition
50.63,2772.13,2026-01-12 02:02:41.930,Transition
50.727,2772.13,2026-01-12 02:02:42.027,Transition
50.829,2787.11,2026-01-12 02:02:42.129,Transition
50.929,2787.11,2026-01-12 02:02:42.229,Transition
51.029,2781.39,2026-01-12 02:02:42.329,Transition
51.13,2737.21,2026-01-12 02:02:42.430,Transition
