Time (s),Illuminance (lux),Timestamp,Condition
23.584,3.14,2026-01-12 00:36:20.459,Transition
23.684,3.14,2026-01-12 00:36:20.559,Transition
23.784,3.14,2026-01-12 00:36:20.659,Transition
23.885,3.14,2026-01-12 00:36:20.760,Transition
23.983,3.14,2026-01-12 00:36:20.858,Transition
24.085,3.14,2026-01-12 00:36:20.960,Transition
24.186,3.14,2026-01-12 00:36:21.061,Transition
24.283,3.14,2026-01-12 00:36:21.158,Transition
24.385,3.14,2026-01-12 00:36:21.260,Transition
24.485,3.14,2026-01-12 00:36:21.360,Transition
24.584,3.14,2026-01-12 00:36:21.459,Transition
24.687,3.14,2026-01-12 00:36:21.562,Transition
24.786,3.14,2026-01-12 00:36:21.661,Transition
24.886,3.14,2026-01-12 00:36:21.761,Transition
24.986,3.14,2026-01-12 00:36:21.861,Transition
25.085,3.14,2026-01-12 00:36:21.960,Transition
25.186,3.14,2026-01-12 00:36:22.061,Transition
25.286,3.14,2026-01-12 00:36:22.161,Transition
25.386,3.14,2026-01-12 00:36:22.261,Transition
25.486,3.14,2026-01-12 00:36:22.361,Transition
25.584,3.14,2026-01-12 00:36:22.459,Transition
25.685,3.14,2026-01-12 00:36:22.560,Transition
25.786,3.14,2026-01-12 00:36:22.661,Transition
25.885,3.14,2026-01-12 00:36:22.760,Transition
25.984,3.14,2026-01-12 00:36:22.859,Transition
26.085,3.14,2026-01-12 00:36:22.960,Transition
26.185,3.14,2026-01-12 00:36:23.060,Transition
26.286,3.14,2026-01-12 00:36:23.161,Transition
26.385,3.3,2026-01-12 00:36:23.260,Transition
26.483,3.3,2026-01-12 00:36:23.358,Transition
26.584,3.3,2026-01-12 00:36:23.459,Transition
26.683,3.3,2026-01-12 00:36:23.558,Transition
26.784,3.3,2026-01-12 00:36:23.659,Transition
26.883,3.3,2026-01-12 00:36:23.758,Transition
26.983,3.3,2026-01-12 00:36:23.858,Transition
27.081,3.3,2026-01-12 00:36:23.956,Transition
27.184,3.64,2026-01-12 00:36:24.059,Transition
27.285,3.64,2026-01-12 00:36:24.160,Transition
27.385,3.71,2026-01-12 00:36:24.260,Transition
27.483,3.71,2026-01-12 00:36:24.358,Transition
27.584,3.71,2026-01-12 00:36:24.459,Transition
27.685,3.71,2026-01-12 00:36:24.560,Transition
27.785,3.71,2026-01-12 00:36:24.660,Transition
27.885,3.9,2026-01-12 00:36:24.760,Transition
27.984,3.9,2026-01-12 00:36:24.859,Transition
28.084,3.9,2026-01-12 00:36:24.959,Transition
28.182,3.9,2026-01-12 00:36:25.057,Transition
28.283,3.9,2026-01-12 00:36:25.158,Transition
28.381,3.9,2026-01-12 00:36:25.256,Transition
28.484,3.9,2026-01-12 00:36:25.359,Transition
28.581,3.9,2026-01-12 00:36:25.456,Transition
28.684,3.9,2026-01-12 00:36:25.559,Transition
28.785,3.9,2026-01-12 00:36:25.660,Transition
28.885,3.9,2026-01-12 00:36:25.760,Transition
28.984,3.9,2026-01-12 00:36:25.859,Transition
29.085,3.9,2026-01-12 00:36:25.960,Transition
29.183,3.9,2026-01-12 00:36:26.058,Transition
29.283,3.9,2026-01-12 00:36:26.158,Transition
29.382,3.9,2026-01-12 00:36:26.257,Transition
29.482,4.28,2026-01-12 00:36:26.357,Transition
29.583,4.28,2026-01-12 00:36:26.458,Transition
29.683,3.9,2026-01-12 00:36:26.558,Transition
29.783,4.28,2026-01-12 00:36:26.658,Transition
29.884,4.28,2026-01-12 00:36:26.759,Transition
29.982,4.28,2026-01-12 00:36:26.857,Transition
30.081,4.28,2026-01-12 00:36:26.956,Transition
30.184,4.28,2026-01-12 00:36:27.059,Transition
30.282,4.28,2026-01-12 00:36:27.157,Transition
30.379,3.83,2026-01-12 00:36:27.254,Transition
30.485,3.83,2026-01-12 00:36:27.360,Transition
30.585,3.9,2026-01-12 00:36:27.460,Transition
30.684,3.9,2026-01-12 00:36:27.559,Transition
30.784,4.28,2026-01-12 00:36:27.659,Transition
30.883,4.09,2026-01-12 00:36:27.758,Transition
30.984,4.09,2026-01-12 00:36:27.859,Transition
31.084,4.09,2026-01-12 00:36:27.959,Transition
31.184,36.77,2026-01-12 00:36:28.059,Transition
31.285,974.8,2026-01-12 00:36:28.160,Transition
31.385,979.42,2026-01-12 00:36:28.260,Transition
31.485,1350.55,2026-01-12 00:36:28.360,Transition
31.584,1884.65,2026-01-12 00:36:28.459,Transition
31.685,3097.12,2026-01-12 00:36:28.560,Transition
31.782,0.04,2026-01-12 00:36:28.657,Transition
31.881,4.47,2026-01-12 00:36:28.756,Transition
31.985,14.37,2026-01-12 00:36:28.860,Transition
32.081,25.37,2026-01-12 00:36:28.956,Transition
32.184,32.23,2026-01-12 00:36:29.059,Transition
32.28,34.06,2026-01-12 00:36:29.155,Transition
32.384,31.46,2026-01-12 00:36:29.259,Transition
32.482,29.28,2026-01-12 00:36:29.357,Transition
32.583,22.63,2026-01-12 00:36:29.458,Transition
32.681,16.77,2026-01-12 00:36:29.556,Transition
32.781,13.23,2026-01-12 00:36:29.656,Transition
32.884,9.21,2026-01-12 00:36:29.759,Transition
32.978,7.16,2026-01-12 00:36:29.853,Transition
33.08,6.0,2026-01-12 00:36:29.955,Transition
33.183,4.56,2026-01-12 00:36:30.058,Transition
33.284,4.56,2026-01-12 00:36:30.159,Transition
33.384,6.71,2026-01-12 00:36:30.259,Transition
33.484,12.15,2026-01-12 00:36:30.359,Transition
33.582,5.13,2026-01-12 00:36:30.457,Transition
33.682,4.49,2026-01-12 00:36:30.557,Transition
33.785,4.49,2026-01-12 00:36:30.660,Transition
33.884,4.21,2026-01-12 00:36:30.759,Transition
33.981,4.21,2026-01-12 00:36:30.856,Transition
34.081,4.21,2026-01-12 00:36:30.956,Transition
34.181,4.21,2026-01-12 00:36:31.056,Transition
34.281,4.21,2026-01-12 00:36:31.156,Transition
34.383,4.21,2026-01-12 00:36:31.258,Transition
34.481,4.21,2026-01-12 00:36:31.356,Transition
34.581,12.02,2026-01-12 00:36:31.456,Transition
34.681,12.42,2026-01-12 00:36:31.556,Transition
34.783,9.1,2026-01-12 00:36:31.658,Transition
34.885,10.11,2026-01-12 00:36:31.760,Transition
34.98,10.11,2026-01-12 00:36:31.855,Transition
35.08,5.82,2026-01-12 00:36:31.955,Transition
35.181,5.82,2026-01-12 00:36:32.056,Transition
35.28,5.58,2026-01-12 00:36:32.155,Transition
35.382,5.13,2026-01-12 00:36:32.257,Transition
35.481,5.58,2026-01-12 00:36:32.356,Transition
35.582,5.58,2026-01-12 00:36:32.457,Transition
35.68,5.92,2026-01-12 00:36:32.555,Transition
35.779,5.92,2026-01-12 00:36:32.654,Transition
35.882,6.17,2026-01-12 00:36:32.757,Transition
35.982,6.68,2026-01-12 00:36:32.857,Transition
36.083,6.79,2026-01-12 00:36:32.958,Transition
36.183,7.62,2026-01-12 00:36:33.058,Transition
36.281,8.65,2026-01-12 00:36:33.156,Transition
36.381,9.1,2026-01-12 00:36:33.256,Transition
36.48,9.76,2026-01-12 00:36:33.355,Transition
36.584,9.76,2026-01-12 00:36:33.459,Transition
36.681,8.65,2026-01-12 00:36:33.556,Transition
36.779,7.74,2026-01-12 00:36:33.654,Transition
36.883,8.04,2026-01-12 00:36:33.758,Transition
36.984,7.74,2026-01-12 00:36:33.859,Transition
37.08,6.17,2026-01-12 00:36:33.955,Transition
37.183,6.79,2026-01-12 00:36:34.058,Transition
37.283,6.79,2026-01-12 00:36:34.158,Transition
37.382,7.06,2026-01-12 00:36:34.257,Transition
37.482,7.06,2026-01-12 00:36:34.357,Transition
37.583,7.74,2026-01-12 00:36:34.458,Transition
37.681,7.62,2026-01-12 00:36:34.556,Transition
37.781,7.74,2026-01-12 00:36:34.656,Transition
37.882,7.06,2026-01-12 00:36:34.757,Transition
37.984,4.21,2026-01-12 00:36:34.859,Transition
38.081,4.21,2026-01-12 00:36:34.956,Transition
38.182,4.21,2026-01-12 00:36:35.057,Transition
38.282,4.28,2026-01-12 00:36:35.157,Transition
38.381,4.28,2026-01-12 00:36:35.256,Transition
38.483,4.49,2026-01-12 00:36:35.358,Transition
38.581,4.49,2026-01-12 00:36:35.456,Transition
38.684,4.49,2026-01-12 00:36:35.559,Transition
38.783,4.49,2026-01-12 00:36:35.658,Transition
38.882,4.49,2026-01-12 00:36:35.757,Transition
38.98,4.49,2026-01-12 00:36:35.855,Transition
39.082,4.49,2026-01-12 00:36:35.957,Transition
39.181,4.49,2026-01-12 00:36:36.056,Transition
39.28,4.49,2026-01-12 00:36:36.155,Transition
39.382,6.52,2026-01-12 00:36:36.257,Transition
39.479,15.16,2026-01-12 00:36:36.354,Transition
39.579,52.92,2026-01-12 00:36:36.454,Transition
39.681,177.99,2026-01-12 00:36:36.556,Transition
39.779,471.01,2026-01-12 00:36:36.654,Transition
39.881,500.55,2026-01-12 00:36:36.756,Transition
39.986,546.89,2026-01-12 00:36:36.861,Transition
40.083,513.68,2026-01-12 00:36:36.958,Transition
40.18,656.38,2026-01-12 00:36:37.055,Transition
40.281,409.67,2026-01-12 00:36:37.156,Transition
40.38,782.05,2026-01-12 00:36:37.255,Transition
40.482,514.84,2026-01-12 00:36:37.357,Transition
40.58,567.22,2026-01-12 00:36:37.455,Transition
40.68,656.38,2026-01-12 00:36:37.555,Transition
40.782,713.19,2026-01-12 00:36:37.657,Transition
40.882,758.32,2026-01-12 00:36:37.757,Transition
40.982,830.0,2026-01-12 00:36:37.857,Transition
41.082,866.04,2026-01-12 00:36:37.957,Transition
41.18,823.33,2026-01-12 00:36:38.055,Transition
41.283,820.79,2026-01-12 00:36:38.158,Transition
41.381,866.04,2026-01-12 00:36:38.256,Transition
41.482,843.21,2026-01-12 00:36:38.357,Transition
41.582,879.63,2026-01-12 00:36:38.457,Transition
41.683,889.27,2026-01-12 00:36:38.558,Transition
41.781,820.79,2026-01-12 00:36:38.656,Transition
41.883,818.26,2026-01-12 00:36:38.758,Transition
41.982,863.42,2026-01-12 00:36:38.857,Transition
42.079,886.6,2026-01-12 00:36:38.954,Transition
42.181,886.6,2026-01-12 00:36:39.056,Transition
42.279,886.6,2026-01-12 00:36:39.154,Transition
42.383,863.42,2026-01-12 00:36:39.258,Transition
42.481,863.42,2026-01-12 00:36:39.356,Transition
42.582,850.0,2026-01-12 00:36:39.457,Transition
42.681,840.64,2026-01-12 00:36:39.556,Transition
42.781,840.64,2026-01-12 00:36:39.656,Transition
42.883,840.64,2026-01-12 00:36:39.758,Transition
42.982,879.63,2026-01-12 00:36:39.857,Transition
43.079,856.56,2026-01-12 00:36:39.954,Transition
43.181,814.17,2026-01-12 00:36:40.056,Transition
43.281,836.47,2026-01-12 00:36:40.156,Transition
43.38,818.26,2026-01-12 00:36:40.255,Transition
43.481,818.26,2026-01-12 00:36:40.356,Transition
43.579,818.26,2026-01-12 00:36:40.454,Transition
43.679,811.65,2026-01-12 00:36:40.554,Transition
43.783,796.29,2026-01-12 00:36:40.658,Transition
43.881,755.92,2026-01-12 00:36:40.756,Transition
43.981,753.53,2026-01-12 00:36:40.856,Transition
44.077,735.08,2026-01-12 00:36:40.952,Transition
44.179,735.08,2026-01-12 00:36:41.054,Transition
44.281,735.08,2026-01-12 00:36:41.156,Transition
44.382,714.63,2026-01-12 00:36:41.257,Transition
44.48,702.81,2026-01-12 00:36:41.355,Transition
44.581,694.56,2026-01-12 00:36:41.456,Transition
44.68,677.1,2026-01-12 00:36:41.555,Transition
44.778,638.76,2026-01-12 00:36:41.653,Transition
44.88,633.15,2026-01-12 00:36:41.755,Transition
44.982,620.14,2026-01-12 00:36:41.857,Transition
45.081,620.14,2026-01-12 00:36:41.956,Transition
45.181,601.89,2026-01-12 00:36:42.056,Control_1
45.281,584.0,2026-01-12 00:36:42.156,Control_1
45.38,573.67,2026-01-12 00:36:42.255,Control_1
45.481,584.0,2026-01-12 00:36:42.356,Control_1
45.581,601.89,2026-01-12 00:36:42.456,Control_1
45.682,638.76,2026-01-12 00:36:42.557,Control_1
45.78,677.1,2026-01-12 00:36:42.655,Control_1
45.88,728.93,2026-01-12 00:36:42.755,Control_1
45.976,737.44,2026-01-12 00:36:42.851,Control_1
46.079,737.44,2026-01-12 00:36:42.954,Control_1
46.178,728.93,2026-01-12 00:36:43.053,Control_1
46.279,696.83,2026-01-12 00:36:43.154,Control_1
46.38,669.06,2026-01-12 00:36:43.255,Control_1
46.48,638.76,2026-01-12 00:36:43.355,Control_1
46.581,633.15,2026-01-12 00:36:43.456,Control_1
46.679,620.14,2026-01-12 00:36:43.554,Control_1
46.78,620.14,2026-01-12 00:36:43.655,Control_1
46.881,603.96,2026-01-12 00:36:43.756,Control_1
46.979,601.89,2026-01-12 00:36:43.854,Control_1
47.079,603.96,2026-01-12 00:36:43.954,Control_1
47.18,614.65,2026-01-12 00:36:44.055,Control_1
47.281,620.14,2026-01-12 00:36:44.156,Control_1
