Time (s),Illuminance (lux),Timestamp,Condition
25.414,220.8,2026-01-12 00:36:34.580,Transition
25.514,201.18,2026-01-12 00:36:34.680,Transition
25.613,237.61,2026-01-12 00:36:34.779,Transition
25.714,223.47,2026-01-12 00:36:34.880,Transition
25.813,189.49,2026-01-12 00:36:34.979,Transition
25.914,191.91,2026-01-12 00:36:35.080,Transition
26.014,197.97,2026-01-12 00:36:35.180,Transition
26.113,197.6,2026-01-12 00:36:35.279,Transition
26.213,178.0,2026-01-12 00:36:35.379,Transition
26.314,191.04,2026-01-12 00:36:35.480,Transition
26.414,193.56,2026-01-12 00:36:35.580,Transition
26.513,193.56,2026-01-12 00:36:35.679,Transition
26.614,181.25,2026-01-12 00:36:35.780,Transition
26.713,188.54,2026-01-12 00:36:35.879,Transition
26.814,181.25,2026-01-12 00:36:35.980,Transition
26.913,207.34,2026-01-12 00:36:36.079,Transition
27.013,152.55,2026-01-12 00:36:36.179,Transition
27.114,189.49,2026-01-12 00:36:36.280,Transition
27.213,169.47,2026-01-12 00:36:36.379,Transition
27.313,199.57,2026-01-12 00:36:36.479,Transition
27.413,158.29,2026-01-12 00:36:36.579,Transition
27.513,198.58,2026-01-12 00:36:36.679,Transition
27.613,196.02,2026-01-12 00:36:36.779,Transition
27.713,191.04,2026-01-12 00:36:36.879,Transition
27.813,178.83,2026-01-12 00:36:36.979,Transition
27.917,183.69,2026-01-12 00:36:37.083,Transition
28.017,193.56,2026-01-12 00:36:37.183,Transition
28.117,201.18,2026-01-12 00:36:37.283,Transition
28.217,186.05,2026-01-12 00:36:37.383,Transition
28.317,188.54,2026-01-12 00:36:37.483,Transition
28.418,183.69,2026-01-12 00:36:37.584,Transition
28.518,176.52,2026-01-12 00:36:37.684,Transition
28.616,192.0,2026-01-12 00:36:37.782,Transition
28.717,183.69,2026-01-12 00:36:37.883,Transition
28.817,191.04,2026-01-12 00:36:37.983,Transition
28.917,174.15,2026-01-12 00:36:38.083,Transition
29.016,201.18,2026-01-12 00:36:38.182,Transition
29.117,178.92,2026-01-12 00:36:38.283,Transition
29.217,167.24,2026-01-12 00:36:38.383,Transition
29.317,160.43,2026-01-12 00:36:38.483,Transition
29.417,189.49,2026-01-12 00:36:38.583,Transition
29.517,176.44,2026-01-12 00:36:38.683,Transition
29.616,226.28,2026-01-12 00:36:38.782,Transition
29.717,186.15,2026-01-12 00:36:38.883,Transition
29.819,183.69,2026-01-12 00:36:38.985,Transition
29.916,186.15,2026-01-12 00:36:39.082,Transition
30.017,186.15,2026-01-12 00:36:39.183,Transition
30.116,169.55,2026-01-12 00:36:39.282,Transition
30.216,183.69,2026-01-12 00:36:39.382,Transition
30.31,178.92,2026-01-12 00:36:39.476,Transition
30.412,169.55,2026-01-12 00:36:39.578,Transition
30.512,171.88,2026-01-12 00:36:39.678,Transition
30.612,181.25,2026-01-12 00:36:39.778,Transition
30.712,183.69,2026-01-12 00:36:39.878,Transition
30.812,174.15,2026-01-12 00:36:39.978,Transition
30.911,181.25,2026-01-12 00:36:40.077,Transition
31.011,196.02,2026-01-12 00:36:40.177,Transition
31.111,219.09,2026-01-12 00:36:40.277,Transition
31.211,208.98,2026-01-12 00:36:40.377,Transition
31.311,203.79,2026-01-12 00:36:40.477,Transition
31.41,227.35,2026-01-12 00:36:40.576,Transition
31.51,199.57,2026-01-12 00:36:40.676,Transition
31.611,242.24,2026-01-12 00:36:40.777,Transition
31.71,187.0,2026-01-12 00:36:40.876,Transition
31.811,203.69,2026-01-12 00:36:40.977,Transition
31.911,206.33,2026-01-12 00:36:41.077,Transition
32.01,178.83,2026-01-12 00:36:41.176,Transition
32.11,184.62,2026-01-12 00:36:41.276,Transition
32.21,164.95,2026-01-12 00:36:41.376,Transition
32.31,215.3,2026-01-12 00:36:41.476,Transition
32.41,169.47,2026-01-12 00:36:41.576,Transition
32.509,196.99,2026-01-12 00:36:41.675,Transition
32.61,163.54,2026-01-12 00:36:41.776,Transition
32.71,187.09,2026-01-12 00:36:41.876,Transition
